No,Drug_name,SMILES,initial_weight,BET,1h (20%RH end),2h (30%RH end),3h (40%RH end),4h (50%RH end),5h (60%RH end),6h (70%RH end),9h (80%RH end),10h (70%RH end),11h (60%RH end),12h (50%RH end),13h (40%RH end),14h (30%RH end),15h (20%RH end)
14,Etamsylate,CCNCC.C1=CC(=C(C=C1O)S(=O)(=O)O)O,53.3533,0,0.027181354,0.018840697,0.023652905,0.027174675,0.020448227,0.034188732,0.034654156,0.042121805,0.028430455,0.012761441,0.034884905,0.036069243,0.019082166
15,Vanillin,COC1=C(C=CC(=C1)C=O)O,48.0533,0,0.049535418,0.046240315,0.045816806,0.039343697,0.029873673,0.031328062,0.004163403,0.008671409,0.013739278,0.016186692,0.019623304,0.010248385,0.014491034
16,Dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,47.7775,0.4,0.015600389,0.022593612,0.005510635,0.018707036,0.029127182,0.041452269,0.050094381,0.05684895,0.037812654,0.035332169,0.029358217,0.021020241,0.014482323
17,Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O,26,0.06,0.078294678,0.092580519,0.075552206,0.074139449,0.085379444,0.075586798,0.052185812,0.04095465,0.042821422,0.042615589,0.018332368,0.018691134,0.028573466
18,Diatrizoic Acid,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.O.O,53.4575,29.81,0.875189345,1.020432415,1.043129208,1.053308998,1.09893881,1.162841796,1.198666134,1.206069432,1.175482918,1.153820573,1.137860066,1.12826755,1.066934908
19,Dicoumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,49.13,0.4,0.009360548,0.014323815,0.003058388,0.006774835,0.016499825,0.016715607,0.019023307,0.008125049,0.018281611,0.006806579,0.001698124,0.004158654,0.008205032
20,Hymecromone,CC1=CC(=O)OC2=C1C=CC(=C2)O,52.2311,0.36,0.010937066,0.019265952,0.020110475,0.030731536,0.032448715,0.035029382,0.030953723,0.020310988,0.023046054,0.028913168,0.025120036,0.024088329,0.021512893
21,Etofylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,45.6512,0.61,0.014679433,0.026798311,0.040549097,0.038052446,0.051780363,0.076287928,0.066104974,0.043739014,0.031916297,0.016071932,0.006646089,0.010979669,0.015377154
22,Folic Acid,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,29.6781,18.94,0.565725386,0.663284995,0.752017006,0.795175902,0.850306818,0.903233696,1.058499529,0.974926696,0.903994744,0.839671118,0.747836999,0.62729401,0.538212854
23,Epinephrine,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,44.2653,6.86,0.011978624,0.019953364,0.020538113,0.032466218,0.033544439,0.036055561,0.031481362,0.021090548,0.022329181,0.027233558,0.020999911,0.023979907,0.029969026
24,Melphalan,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl,43.3692,28.64,0.704571197,0.993039869,1.271645208,1.525641355,1.856741606,2.305751728,2.986084972,2.497608423,2.114949506,1.863622794,1.568422021,1.373058345,1.218920931
25,Artesunate,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,28.9958,1.02,0.011137935,0.024468892,0.050713083,0.064992897,0.080490714,0.096335583,0.144867064,0.119677373,0.104002639,0.093144479,0.074979616,0.062766663,0.031313657
26,Ranitidine Hydrochloride,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C.Cl,15.5539,3.72,0.191009102,0.052362441,0.107527811,0.154220646,0.552977107,3.59503526,36.0367885,33.23707516,26.5681789,21.18071022,17.36424867,14.08164002,11.45313317
27,Hydrocortisone Acetate,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,53.0595,0.39,0.03237993,0.037367626,0.03936976,0.031338449,0.033936694,0.038893514,0.029124343,0.013679301,0.010506044,0.021114491,0.003382925,0.002599924,0.065945946
28,Dexamethasone Sodium Phosphate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+],55.2506,396.11,6.116513743,13.36580214,14.95840088,15.261614,15.50048818,15.93629726,16.36481559,15.94386113,15.7380847,15.52218211,15.32670464,15.11965366,14.88776731
29,Hyodeoxycholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,42.2545,1.72,0.035215648,0.059593619,0.071141121,0.095603293,0.121040639,0.172988559,0.219087763,0.170899729,0.149022293,0.110679792,0.103446896,0.085075703,0.065026103
30,Prednisone,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,50.4609,1.51,0.04764567,0.058734764,0.059699462,0.076216124,0.167740256,0.258989844,0.195506961,0.152834177,0.087491224,0.053029531,0.028718698,0.009610706,0.007592528
31,Miconazole Nitrate,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-],54.6041,0.72,0.005046976,0.01648712,0.026217888,0.041475609,0.047701303,0.059365013,0.070118702,0.049145963,0.043196715,0.032911206,0.017251069,0.005306791,0.00946863
32,Benorilate,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC(=O)C,56.4917,0.72,0.035315086,0.030914822,0.042337019,0.046466125,0.044889357,0.041397871,0.05349605,0.029746232,0.038212709,0.033379025,0.031456205,0.02724981,0.018727322
33,Ditiazem Hydrochloride,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,49.8619,3.08,0.053601206,0.101801768,0.147135244,0.210365184,0.272331789,0.378506365,0.478773846,0.386545579,0.29888451,0.215091148,0.161948027,0.096117422,0.060544101
34,Galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,52.0215,0.83,0.015337872,0.021476457,0.028671925,0.052999003,0.072043539,0.098291712,0.116525562,0.08007649,0.053022762,0.042334464,0.037106201,0.018920969,0.023783033
35,Prednisone Acetate,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)C)O,46.7816,0,0.06075266,0.037458713,0.021679026,0.04214861,0.055186864,0.072672322,0.086618769,0.099200275,0.085193951,0.033999991,0.026458856,0.039937785,0.024177945
36,Phentolamine Mesylate,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O.CS(=O)(=O)O,47.8058,2.24,0.055510546,0.071686006,0.092170095,0.10924241,0.13018964,0.168333857,0.173748361,0.141419308,0.118429361,0.107930665,0.106983617,0.097446499,0.100836642
37,Isosorbide Dinitrate,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],48.9951,0.21,0.007126005,0.009316739,0.019596543,0.016020512,0.018521048,0.031061229,0.043993747,0.033282152,0.029291581,0.026111933,0.022449363,0.007690399,0.007633329
38,Paracetamol,CC(=O)NC1=CC=C(C=C1)O,47.4534,0.31,0.027283744,0.025532323,0.024163795,0.030633491,0.038654852,0.035097581,0.04319722,0.020368937,0.03346821,0.031676475,0.04044355,0.043847619,0.020771365
39,Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,13.1256,0,0.237500872,0.173358037,0.120209907,0.058111758,0.119136431,0.111255511,0.190776126,0.183202019,0.136291792,0.125041249,0.088241787,0.08483885,0.047079421
40,Sulfanilamide,C1=CC(=CC=C1N)S(=O)(=O)N,54.847,0.22,0.038075886,0.026859976,0.044304436,0.031625072,0.046106029,0.055071258,0.053458501,0.049401725,0.045073359,0.049990598,0.043854386,0.047113212,0.050347319
41,Thenophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,58.6512,0.61,0.009069459,0.016063681,0.019369256,0.023975281,0.021046662,0.040547952,0.026242905,0.026715078,0.034314857,0.024215036,0.01716419,0.015121773,0.006622106
42,Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,26.8871,7.9,0.195775053,0.286998412,0.367409943,0.394801896,0.493317811,0.552163954,0.639167049,0.546196451,0.482717558,0.385653124,0.326626472,0.230955868,0.134751692
43,Chlorhexidine Acetate,CC(=O)O.CC(=O)O.C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,24.3168,82.22,2.773654193,2.81862888,2.890968092,2.908689025,2.938142713,2.949119628,2.996769844,3.02081557,2.938835663,2.889297969,2.866593721,2.823926844,2.787319723
44,Pyrazinamide,C1=CN=C(C=N1)C(=O)N,44.0504,0.33,0.002019587,0.004856864,0.03341658,0.043494798,0.056572504,0.073604661,0.070850675,0.055309608,0.056433731,0.05461146,0.042864726,0.036350817,0.031600075
45,Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,57.7587,1.36,0.037398888,0.048080203,0.057787271,0.066929297,0.052948662,0.094798582,0.127778243,0.083643301,0.082309398,0.060406465,0.048205761,0.047997685,0.039929429
46,Fructose,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,51.6915,0.32,0.049184664,0.098363644,0.098369328,0.055792263,0.098454107,2.90533156,19.51631599,20.18041847,18.93383709,17.17583304,15.94440614,14.59931524,14.20504408
47,Mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,24.7721,3,0.059632401,0.084767763,0.163652167,0.151607707,0.127270326,0.220413604,0.309533497,0.269710296,0.24932351,0.197020105,0.205277888,0.134110541,0.106050436
48,Minoxidil,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,52.0465,0,0,0.009761433,0.019019802,0.022671023,0.034076677,0.041584179,0.057176338,0.053439251,0.043397656,0.03649617,0.025779633,0.021747854,0.02099787
49,p-Anisic Acid,COC1=CC=C(C=C1)C(=O)O,49.0674,0,0.048461845,0.0424835,0.037375025,0.038365608,0.037369565,0.027252662,0.01829457,0.014053242,0.016182702,0.021183708,0.037521497,0.045180471,0.033153114
50,Nicotinamide,C1=CC(=CN=C1)C(=O)N,59.3867,0.52,0.014103037,0.018239253,0.018313481,0.024664443,0.026562746,0.049815468,0.073767931,0.042454243,0.033206569,0.02515216,0.018541883,0.010016675,0.019273773
51,Suxamethonium Chloride,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.O.O.[Cl-].[Cl-],51.5158,6.65,0.168153083,0.226707113,0.256382534,0.283069942,0.307378463,0.378365212,0.968999483,0.448778942,0.318898235,0.28794155,0.246819055,0.225612173,0.219591179
52,Estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,12.1395,4.38,0.097726538,0.22342933,0.162790934,0.25579846,0.29719635,0.35957722,0.445605967,0.45192597,0.381816123,0.182674548,0.295781885,0.274844445,0.260070722
53,Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,48.516,0.36,0.046476236,0.049477725,0.04857283,0.057906606,0.074819186,0.06847241,0.052513623,0.030263517,0.03022549,0.022834254,0.017150934,0.008394283,0.008797163
54,Calcium Folinate,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],45.0938,179.84,4.639488451,6.284901981,7.906704494,9.309260316,11.05281413,13.01819204,16.54377548,15.97899942,15.2927332,14.64167135,13.76020077,12.49757632,10.71517324
55,Thioridazine Hydrochloride,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,46.3174,5.11,0.165183238,0.195823538,0.348361787,0.496185746,0.607344117,0.76900188,0.821385017,0.651033063,0.550637272,0.46025827,0.35779923,0.249402371,0.191241604
56,Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,55.3632,34.6,0.467798146,0.641139234,0.75971979,0.835275527,0.894427467,0.929016227,0.960490461,0.945091036,0.931551433,0.914774379,0.885643405,0.847775466,0.797350732
57,Gliclazide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,50.1521,0.69,0.015148809,0.021264059,0.027451531,0.041718877,0.074950413,0.069042715,0.096869133,0.068755041,0.073745801,0.031148891,0.032918181,0.038804964,0.031856593
58,Lidocaine Hydrochloride,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.O.Cl,50.9517,39.81,0.70647711,1.437672599,1.803906864,1.826558547,1.836372372,1.841220884,1.861136051,1.844550257,1.839331362,1.827930387,1.842359473,1.835989485,1.840376781
59,"Methyl 3, 5-Diamino-6-6Chloropyrazine-2-Carboxylate",COC(=O)C1=C(N=C(C(=N1)Cl)N)N,43.3188,0.86,0.031216001,0.046914727,0.046977796,0.037912168,0.053670351,0.068749738,0.140640846,0.105790461,0.080341455,0.062513081,0.045395724,0.035164545,0.030436006
60,Clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,54.024,0.76,0.011483436,0.016460007,0.025070049,0.039115603,0.046291752,0.063496362,0.081122645,0.067674061,0.064452775,0.047239874,0.038056235,0.035916747,0.038856664
61,Amiloride Hydrochloride,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.O.O.Cl,49.9762,55.84,1.808348457,1.945289757,2.00535943,2.053735285,2.109301912,2.192901565,2.216999153,2.172932959,2.101889705,2.080769211,2.012238321,1.98971895,1.97551495
62,Nifedipine Impurity 1,CC1=C(C(=C(C(=N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,24.834,1.35,0.038472285,0.052392601,0.068779647,0.09234095,0.123685038,0.1643972,0.220976101,0.202784886,0.174098188,0.159914361,0.079244704,0.056296305,0.072777119
63,Clioquinol,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,43.0714,1.34,0.028825092,0.044376449,0.050133783,0.075660918,0.092807125,0.119704396,0.150618252,0.151840319,0.127846391,0.120065726,0.124623484,0.111011274,0.047755231
64,Nimodipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,48.8043,0.31,0.010980373,0.017461945,0.007342924,0.017309882,0.029396655,0.034358625,0.046543542,0.034443075,0.028577047,0.024559197,0.018235899,0.024219803,0.014561082
65,Ethacridine Lactate,CCOC1=CC2=C(C3=C(C=C(C=C3)N)N=C2C=C1)N.CC(C(=O)O)O.O,57.5246,3.33,0.039765663,0.110081188,0.140498775,0.17699532,0.172362078,0.223046582,0.301041191,0.268786291,0.246700792,0.230931384,0.20525584,0.19037263,0.161213635
66,Nifedipine ,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,51.4119,0.14,0.025626347,0.028576725,0.05060758,0.051718631,0.059840148,0.100679416,0.076227909,0.099017732,0.065906647,0.067249535,0.064868752,0.056801659,0.05352523
67,Nifedipine Impurity 2,CC1=C(C(=C(C(=N1)C)C(=O)OC)C2=CC=CC=C2N=O)C(=O)OC,16.8855,2.79,0.040699445,0.070862448,0.08349921,0.096207731,0.111346841,0.134076296,0.172002996,0.180998655,0.147290606,0.14812212,0.101720553,0.050038777,0.087045171
68,Carbocysteine,C([C@@H](C(=O)O)N)SCC(=O)O,55.8249,0.76,0.023285241,0.047498228,0.095647275,0.088909903,0.111618738,0.153838491,0.15301648,0.126415222,0.138353561,0.135536304,0.125029861,0.127006476,0.11889235
69,Proglumide,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1,40.6355,0.48,0.009786585,0.018911415,0.045998913,0.030798952,0.027044458,0.038412168,0.072444314,0.079688237,0.064340599,0.053283941,0.067336725,0.059854,0.057292217
70,Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,53.3059,4.19,0.089314945,0.143613745,0.20297636,0.263324882,0.324054849,0.381153183,0.510732608,0.45563332,0.420356262,0.388013309,0.352452926,0.293013157,0.272879943
71,Nandrolone Phenylpropionate,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4=CC=CC=C4)CCC5=CC(=O)CC[C@H]35,54.8314,0,0.110454674,0.099894686,0.065087211,0.035911693,0.0506324,0.058288119,0.063796345,0.045541179,0.030371118,0.015443914,0.008027623,0.005592845,0.017978218
72,Norethisterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,24.3798,0.41,0.060161018,0.064841411,0.039232608,0.057919694,0.02541726,0.055731924,0.023996864,0.028874982,0.040655149,0.052392234,0.065628972,0.031401401,0.045642025
73,Dexamethasone Acetate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C,32.667,0.96,0.057941609,0.059090624,0.066505274,0.101962532,0.115216493,0.180426584,0.179113248,0.158292797,0.134326028,0.110967294,0.100707712,0.092148937,0.052517945
74,Isotretinoin,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,45.6507,0,0.261746503,0.227374499,0.08286831,0.029601646,0.043228436,0.043651639,0.046864645,0.033616854,0.017785659,0.018765512,0.015418995,0.009059337,0.00963636
75,Galantamine Hydrobromide,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O.Br,50.4274,1.84,0.058021315,0.066417129,0.08419564,0.099448331,0.14280177,0.177465742,0.228542345,0.183066993,0.15471093,0.141623199,0.108225286,0.064640773,0.034866103
76,Danazol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,15.2059,0.71,0.051793122,0.109165,0.088901941,0.077529232,0.095688529,0.112519991,0.055163597,0.120125179,0.139478267,0.15185791,0.115856547,0.166308555,0.141192164
77,Menadiol Diacetate,CC1=C(C2=CC=CC=C2C(=C1)OC(=O)C)OC(=O)C,53.0724,0,0.067120848,0.041430406,0.036716163,0.051620877,0.045779733,0.052197257,0.067733428,0.061802786,0.059451962,0.05573839,0.055238783,0.041964587,0.033462002
78,Triamcinolone Acetonide Acetate,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC(O2)(C)C,54.0401,1.51,0.024535696,0.028077735,0.059440835,0.118631014,0.844921675,1.790172579,1.89511269,1.858518352,1.821745795,1.736191355,0.267444801,0.09723915,0.039911962
79,Sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,58.5097,0,0.018944826,0.011917523,0.014149693,0.012724798,0.016517161,0.013501258,0.01385473,0.017533133,0.00829084,0.02067763,0.016285084,0.019147985,0.022385637
80,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,59.5145,0.25,0.014320071,0.012614716,0.011907064,0.009003446,0.02503002,0.030064922,0.050306972,0.042075629,0.04311374,0.037377208,0.010103209,0.008970282,0.021869576
81,Cromolyn Sodium,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-].[Na+].[Na+],47.3615,87.01,2.399235557,3.2178273,4.838133061,6.948210412,9.365109868,10.92283623,13.87179984,13.36727442,13.16737661,12.81652375,12.45892983,11.75833066,10.56763211
82,Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],32.3119,0.17,0.043934388,0.02112245,0.077973029,0.087892617,0.084532502,0.076425848,0.105980994,0.078161542,0.063280829,0.070580845,0.039738284,0.042401593,0.019298033
83,Dihydroartemisinin,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,28.0292,0.58,0.051987603,0.041600815,0.071392976,0.085311011,0.107103712,0.134261841,0.165238463,0.109678866,0.103650458,0.082333356,0.039363984,0.032633731,0.082333646
84,Amiodarone Hydrochloride,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,7.9578,8.16,0.296459147,0.290294727,0.364228066,0.454291944,0.569689309,0.727311288,0.882475339,0.73600872,0.883312557,0.326970654,0.333945396,0.262851314,0.141131711
85,Norepinephrine Bitartrate,C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O,51.1992,0.42,0.011649138,0.013150778,0.010403646,0.016695423,0.027608724,0.035644199,0.050025296,0.047351825,0.041217284,0.036544055,0.035566522,0.026451949,0.03260439
86,Phenolphthalein,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,46.974,0,0.016662496,0.016087375,0.017315634,0.026746571,0.023604155,0.027663755,0.031261412,0.02533371,0.027171605,0.021258111,0.012557241,0.007708729,0.00752305
87,Lactulose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,46.0803,3.14,0.034731873,0.071808353,0.071656451,0.077058879,0.178308854,0.867884992,9.061405853,7.573424516,4.607127735,2.704574811,1.837232708,1.365755749,1.139459102
88,Clonidine Hydrochloride,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,53.0027,1.71,0.056942847,0.060410087,0.070166868,0.071107153,0.066118104,0.092443996,0.113679985,0.094290584,0.083469065,0.088813348,0.084162812,0.082428232,0.085398514
89,Halcinonide,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CCl)C)O)F,52.0165,2.96,0.03349513,0.100894091,0.156599886,0.207026343,0.226434719,0.285433423,0.36792352,0.370537275,0.351675178,0.326194176,0.309393806,0.263770181,0.218414381
90,Dicyanodiamide,C(#N)N=C(N)N,51.4241,0.2,0.030533692,0.024433606,0.022719574,0.023254506,0.01716838,0.01328024,0.018320156,0.014976745,0.01510201,0.015546219,0.007863527,0.02257596,0.02908704
